#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00000
-4.39597 0.00000
-4.29530 0.00000
-4.19463 0.00000
-4.09396 0.00000
-3.99329 0.00000
-3.89262 0.00000
-3.79195 0.00000
-3.69128 0.00000
-3.59060 0.00000
-3.48993 0.00000
-3.38926 0.00000
-3.28859 0.00000
-3.18792 0.00000
-3.08725 0.00000
-2.98658 0.00000
-2.88591 0.00004
-2.78523 0.00065
-2.68456 0.00145
-2.58389 0.00046
-2.48322 0.00002
-2.38255 0.00000
-2.28188 0.00001
-2.18121 0.00031
-2.08054 0.00137
-1.97987 0.00086
-1.87919 0.00008
-1.77852 0.00000
-1.67785 0.00000
-1.57718 0.00000
-1.47651 0.00000
-1.37584 0.00012
-1.27517 0.00202
-1.17450 0.00555
-1.07383 0.00484
-0.97315 0.00704
-0.87248 0.00796
-0.77181 0.00836
-0.67114 0.01065
-0.57047 0.01862
-0.46980 0.02770
-0.36913 0.03130
-0.26846 0.05927
-0.16779 0.43079
-0.06711 3.25124
0.03356 4.44502
0.13423 1.00304
0.23490 0.11991
0.33557 0.06947
0.43624 0.05245
0.53691 0.03936
0.63758 0.03752
0.73826 0.05117
0.83893 0.05099
0.93960 0.02836
1.04027 0.01492
1.14094 0.01055
1.24161 0.01029
1.34228 0.00924
1.44295 0.00700
1.54362 0.01012
1.64430 0.00785
1.74497 0.00450
1.84564 0.00430
1.94631 0.00397
2.04698 0.00209
2.14765 0.00310
2.24832 0.00421
2.34899 0.00265
2.44966 0.00567
2.55034 0.00740
2.65101 0.00400
2.75168 0.00369
2.85235 0.00340
2.95302 0.00657
3.05369 0.01077
3.15436 0.00997
3.25503 0.00492
3.35570 0.00203
3.45638 0.00257
3.55705 0.00127
3.65772 0.00084
3.75839 0.00143
3.85906 0.00040
3.95973 0.00002
4.06040 0.00000
4.16107 0.00000
4.26174 0.00000
4.36242 0.00000
4.46309 0.00000
4.56376 0.00000
4.66443 0.00000
4.76510 0.00000
4.86577 0.00000
4.96644 0.00000
5.06711 0.00000
5.16779 0.00000
5.26846 0.00000
5.36913 0.00000
5.46980 0.00000
5.57047 0.00000
5.67114 0.00000
5.77181 0.00000
5.87248 0.00000
5.97315 0.00000
6.07383 0.00000
6.17450 0.00000
6.27517 0.00000
6.37584 0.00000
6.47651 0.00000
6.57718 0.00000
6.67785 0.00000
6.77852 0.00000
6.87919 0.00000
6.97987 0.00000
7.08054 0.00000
7.18121 0.00000
7.28188 0.00000
7.38255 0.00001
7.48322 0.00025
7.58389 0.00131
7.68456 0.00096
7.78523 0.00010
7.88591 0.00000
7.98658 0.00000
8.08725 0.00000
8.18792 0.00000
8.28859 0.00000
8.38926 0.00000
8.48993 0.00000
8.59060 0.00000
8.69128 0.00000
8.79195 0.00000
8.89262 0.00000
8.99329 0.00000
9.09396 0.00002
9.19463 0.00040
9.29530 0.00143
9.39597 0.00072
9.49664 0.00005
9.59732 0.00000
9.69799 0.00000
9.79866 0.00000
9.89933 0.00000
10.00000 0.00000
